,latitude,longitude,d50,beach_slope_average,mstr,code,dataset,hs_mean
82,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),0.9
83,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
84,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
85,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),0.9
86,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
87,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
88,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
89,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
90,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
91,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
92,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
93,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
94,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
95,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
96,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
97,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
98,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
99,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),0.9
100,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
101,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
102,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
103,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
104,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
105,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),0.9
106,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
107,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
108,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
109,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
110,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
111,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
112,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
113,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
114,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
115,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
116,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
117,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
118,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
119,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
120,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),0.9
121,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
122,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
123,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
124,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
125,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
126,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
127,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),0.9
128,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
129,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
130,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
131,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
132,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
133,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
134,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),0.9
135,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
136,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
137,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
138,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),0.9
139,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
140,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
141,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
142,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
143,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
144,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
145,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
146,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
147,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
148,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),0.9
149,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),0.9
150,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),1.1
151,41.45544,-70.55457,31.29954128,0.109,0.6,9.0,Woodruff et al. (2021),0.9
152,41.45378,-70.55338,20.40695853,0.129,0.6,9.0,Woodruff et al. (2021),1.1
153,41.45452,-70.55402,33.89444444,0.102,0.6,9.0,Woodruff et al. (2021),1.1
