,PROJECT,SITE CODE,SITE,Year,Month,Month #,Day,DATE,TRANSECT,LEVEL,-2.5,-2,-1.5,-1,-0.5,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,BOTTOM PAN,TOTAL,d5,d10,d16,d25,d30,d50,d75,d84,d90,d95,Mean,Std,Skewness,Kurtosis,contact
10,SC_Beach,EUC,"EAST CAMPUS, California",2011,September,9,26,26-Sep-11,C,HTS,0,0,0,0.016,0.006,0.004,0.035,0.361,8.798,27.363,46.921,7.278,0.487,0.014,0.004,0.0007,91.2877,0.417501854,0.350085679,0.324467352,0.289511615,1.879709827,0.226419799,0.188243578,0.172656859,0.12974828,0.044197158,0.233214964,2.0526401,3.76324813,0.489663445,Karina Nielsen
11,SC_Beach,EUC,"EAST CAMPUS, California",2011,September,9,26,26-Sep-11,C,WTO,0,0,0,0.137,0.1631,0.3104,0.8964,2.4988,9.896,26.6614,48.9403,14.7044,1.5957,0.037,0.0117,0.003,105.8552,0.482896283,0.405328467,0.344048157,0.306063464,1.801902751,0.233846382,0.19590489,0.183808902,0.174726263,0.155302711,0.245455147,1.553216089,0.629865669,0.685314568,Karina Nielsen
12,SC_Beach,GAV,"GAVIOTA, California",2011,September,9,27,27-Sep-11,A,HTS,0,0,0,0,0,0.0096,0.0863,0.6026,11.7059,38.0534,32.9198,6.6826,2.2319,0.1027,0.0164,0.0095,92.4207,0.440219051,0.379647021,0.34217099,0.315243175,1.731196161,0.251052047,0.193083117,0.171168178,0.125396508,0.044197158,0.244987162,2.112387859,6.12818407,0.479493985,Karina Nielsen
13,SC_Beach,GAV,"GAVIOTA, California",2011,September,9,27,27-Sep-11,A,WTO,0,0,0,0.0905,0.0233,0.1208,0.2097,0.5412,3.2744,22.6484,64.926,11.4786,1.0407,0.0829,0.0009,0.0368,104.4742,0.349579846,0.323831052,0.295423483,0.257415563,2.023809414,0.221015005,0.193404533,0.18433288,0.178522756,0.160668762,0.229169347,1.366514632,0.709410228,0.675938018,Karina Nielsen
14,SC_Beach,GAV,"GAVIOTA, California",2011,September,9,27,27-Sep-11,B,HTS,0,0,0,0.0349,0.0733,0.1096,0.3292,1.4592,16.1387,46.4145,33.6858,7.2856,2.1674,0.0763,0.0113,0,107.7858,0.46887376,0.421138785,0.370227277,0.335919519,1.627709013,0.278718558,0.224544969,0.204687052,0.192433966,0.182785272,0.276423454,1.467652346,0.88128365,0.634406932,Karina Nielsen
15,SC_Beach,GAV,"GAVIOTA, California",2011,September,9,27,27-Sep-11,B,WTO,0,0,0,0,0.0084,0.02,0.0905,0.3903,3.6019,23.0622,62.4981,13.4901,0.8898,0.0357,0.0277,0.0008,104.1155,0.348869913,0.323617368,0.295715294,0.258307332,2.022614287,0.220282698,0.191766994,0.182431367,0.175297226,0.154166157,0.228201185,1.383923826,0.755127042,0.64849382,Karina Nielsen
16,SC_Beach,GAV,"GAVIOTA, California",2011,September,9,27,27-Sep-11,C,HTS,0,0,0,0,0.0702,0.0617,0.1788,0.6281,7.8927,38.6721,46.9784,7.7521,1.9873,0.0316,0.0261,0.0147,104.2938,0.418341058,0.349878278,0.331562184,0.305870089,1.773692145,0.24544543,0.204107378,0.190995904,0.182726256,0.17273646,0.249563652,1.431930215,0.714820741,0.634435546,Karina Nielsen
17,SC_Beach,GAV,"GAVIOTA, California",2011,September,9,27,27-Sep-11,C,WTO,0,0,0,0.0495,0.0137,0.0647,0.1204,0.2483,17.1421,37.5736,42.1308,2.9704,0.422,0.04,0.0079,0.0007,100.7841,0.456494543,0.412604912,0.365471031,0.330352045,1.664494485,0.262320596,0.212452447,0.197291944,0.187790851,0.180223739,0.266439269,1.471776283,0.730459435,0.628577141,Karina Nielsen
18,SC_Beach,IVW,"ISLA VISTA, California",2011,September,9,28,28-Sep-11,A,HTS,0,0,0,0,0.0239,0.0474,0.1373,0.4907,10.4593,37.2685,32.2053,6.5374,2.6209,0.0591,0.0088,0.0097,89.8683,0.433599183,0.367398435,0.33799666,0.310860262,1.752779157,0.245811433,0.187829745,0.147879658,0.044197158,0.044197158,0.23074961,2.176078316,6.297423583,0.479752113,Karina Nielsen
19,SC_Beach,IVW,"ISLA VISTA, California",2011,September,9,28,28-Sep-11,A,WTO,0,0,0,0.4544,0.5888,0.9034,1.7635,4.2411,15.7832,35.8682,38.2288,7.7953,1.2997,0.0679,0.0176,0.0191,107.031,0.6363722,0.478011951,0.419007271,0.349264152,1.587341991,0.274313953,0.217436016,0.200399814,0.189790529,0.181379788,0.284526196,1.645741568,0.649931971,0.785095446,Karina Nielsen
20,SC_Beach,IVW,"ISLA VISTA, California",2011,September,9,28,28-Sep-11,B,HTS,0,0,0,0,0.0875,0.6938,4.6898,13.4835,19.6036,24.992,19.3575,1.2969,0.2868,0.0145,0.0065,0.0291,84.5415,0.732162484,0.629410067,0.5394581,0.449325834,1.281718664,0.301687781,0.203669783,0.132030545,0.044197158,0.044197158,0.278011835,2.868296934,3.145894352,0.496121784,Karina Nielsen
21,SC_Beach,IVW,"ISLA VISTA, California",2011,September,9,28,28-Sep-11,B,WTO,0,0,0,0.6697,1.0163,1.4003,2.3822,4.8142,24.2684,33.78,29.7277,3.5688,0.9575,0.051,0.0073,0.0158,102.6592,0.756987912,0.51028745,0.460805901,0.40522885,1.406234033,0.301737955,0.231306752,0.20826735,0.194197266,0.183201087,0.307083434,1.73885927,0.690820122,0.732439787,Karina Nielsen
22,SC_Beach,IVW,"ISLA VISTA, California",2011,September,9,28,28-Sep-11,C,HTS,0,0,0,0,0.0423,0.0891,0.6264,3.7934,17.8714,37.3743,25.7233,2.0326,0.2458,0.0165,0.0086,0.0118,87.8355,0.495674705,0.449870059,0.400456631,0.345211469,1.601371798,0.273783065,0.203702762,0.180441434,0.044197158,0.044197158,0.27045776,2.233600042,5.602032805,0.48196627,Karina Nielsen
23,SC_Beach,IVW,"ISLA VISTA, California",2011,September,9,28,28-Sep-11,C,WTO,0,0,0,0.293,0.108,0.271,0.91,3.016,30.035,33.079,32.195,1.634,0.196,0.008,0.002,0.0134,101.7604,0.497693551,0.469792366,0.43836784,0.395127977,1.422873314,0.300984317,0.231143462,0.209800531,0.196678352,0.186372376,0.302503018,1.536926658,0.940438043,0.535697011,Karina Nielsen
24,SC_Beach,LEO,"LEO CARILLO, California",2011,September,9,30,30-Sep-11,A,HTS,0,0,0,0.0468,0.0801,0.1722,1.2184,7.7133,27.0998,33.2411,11.1193,0.8354,0.0741,0.0136,0.0099,0.0129,81.6369,0.604690689,0.495113079,0.458543478,0.408690651,1.3831984,0.306599446,0.211093633,0.044197158,0.044197158,0.044197158,0.183843696,3.451685993,6.911232018,0.482019191,Karina Nielsen
25,SC_Beach,LEO,"LEO CARILLO, California",2011,September,9,30,30-Sep-11,A,WTO,0,0,0,0,0,0,0.0299,0.309,6.5564,34.2854,45.5835,7.4565,2.1309,0.1522,0.0202,0.0208,96.5448,0.390817642,0.342637784,0.322474559,0.294432511,1.83694663,0.23379363,0.193323836,0.1805379,0.152098764,0.110124844,0.238762164,1.586733463,1.444317811,0.527852987,Karina Nielsen
26,SC_Beach,LEO,"LEO CARILLO, California",2011,September,9,30,30-Sep-11,B,HTS,0,0,0,0.3574,0.1103,0.4651,2.8203,8.6254,27.4676,38.0102,21.6896,1.8443,0.3013,0.0264,0.0115,0.0212,101.7506,0.672558507,0.550149768,0.47767456,0.426398453,1.320768833,0.322298027,0.25660395,0.226631228,0.205912944,0.190102091,0.326765731,1.652490167,0.774469976,0.641038568,Karina Nielsen
27,SC_Beach,LEO,"LEO CARILLO, California",2011,September,9,30,30-Sep-11,B,WTO,0,0,0,0.0946,0.1879,0.4542,1.6186,5.4788,19.5361,31.9835,30.0474,3.8316,0.6251,0.0491,0.0119,0.0182,93.937,0.598182848,0.481160318,0.432577648,0.368744442,1.541111823,0.276675554,0.208726926,0.188146518,0.167461699,0.044197158,0.282386339,2.361847629,2.891975154,0.503298694,Karina Nielsen
28,SC_Beach,LEO,"LEO CARILLO, California",2011,September,9,30,30-Sep-11,C,HTS,0,0,0,0.2511,0.2041,0.3007,1.4655,7.3361,43.5841,36.4531,9.5188,0.388,0.1036,0.0125,0.0053,0.0181,99.641,0.620127326,0.498251261,0.475037862,0.442229749,1.234517863,0.362504888,0.287219096,0.263665362,0.246345377,0.205345016,0.356750884,1.527277529,1.091215328,0.59046021,Karina Nielsen
29,SC_Beach,LEO,"LEO CARILLO, California",2011,September,9,30,30-Sep-11,C,WTO,0,0,0,0.0493,0.0541,0.2118,1.17,5.1958,18.0903,34.1146,33.7995,7.7614,0.8725,0.0635,0.0139,0.0081,101.4048,0.559334574,0.469204705,0.418256031,0.352740859,1.576634344,0.273625862,0.211931606,0.193249352,0.181718687,0.159424763,0.280697881,1.660007356,0.787295882,0.647747629,Karina Nielsen
30,SC_Beach,AQB,"ARROYO QUEMADO, California",2011,October,10,10,10-Oct-11,A,HTS,0,0,0,0,0,0.0033,0.0062,0.031,1.5383,17.779,45.4056,15.4623,7.3416,0.6384,0.0475,31.1,,0.330751571,0.300036022,0.266918809,0.239469452,2.117190391,0.19786976,0.140539079,0.104604848,0.044197158,0.044197158,0.176781497,2.090420881,5.505744877,0.488162415,Karina Nielsen
31,SC_Beach,AQB,"ARROYO QUEMADO, California",2011,October,10,10,10-Oct-11,A,WTO,0,0,0,0,0.0077,0.0407,0.0714,0.1762,2.1468,18.3371,54.8086,10.7704,1.2249,0.0282,0.0074,0.0206,87.64,0.336879953,0.306503151,0.273644469,0.243424385,2.0841118,0.207831198,0.177442399,0.134863424,0.044197158,0.044197158,0.197210726,1.983094135,5.75553491,0.487885693,Karina Nielsen
32,SC_Beach,AQB,"ARROYO QUEMADO, California",2011,October,10,10,10-Oct-11,B,HTS,0,0,0,0,0,0,0.0072,0.1129,4.1642,29.894,46.5907,3.0328,0.4213,0.0304,0.0069,0.0196,84.28,0.350639905,0.330892635,0.308658338,0.278076561,1.930114739,0.222249542,0.18453473,0.106199268,0.044197158,0.044197158,0.193856397,2.191320355,14.7593078,0.461502055,Karina Nielsen
33,SC_Beach,AQB,"ARROYO QUEMADO, California",2011,October,10,10,10-Oct-11,B,WTO,0,0,0,0,0.0167,0.0302,0.0401,0.1058,0.8035,4.6793,52.6525,29.0366,2.0276,0.0494,0.0126,0.0127,89.467,0.262835493,0.24299166,0.233582255,0.220146896,2.230989981,0.186744533,0.144884593,0.130127937,0.044197158,0.044197158,0.178382712,1.807547603,24.99616091,0.455074628,Karina Nielsen
34,SC_Beach,AQB,"ARROYO QUEMADO, California",2011,October,10,10,10-Oct-11,C,HTS,0,0,0,0.0267,0,0.0072,0.0226,0.1534,4.2903,32.2378,37.9777,3.0488,0.242,0.0133,0.003,0.0206,78.0434,0.351666756,0.333263178,0.312445698,0.283632098,1.89549535,0.221510134,0.17116151,0.044197158,0.044197158,0.044197158,0.145162408,2.738604365,20.03587736,0.457235959,Karina Nielsen
35,SC_Beach,AQB,"ARROYO QUEMADO, California",2011,October,10,10,10-Oct-11,C,WTO,0,0,0,0.0439,0.0081,0.0347,0.0501,0.1129,3.5599,10.584,54.2682,17.7766,0.8543,0.0297,0.0082,0.0108,87.3414,0.340045064,0.288690868,0.247455849,0.233634195,2.143789549,0.199158763,0.156234426,0.131091677,0.044197158,0.044197158,0.186247629,1.952163484,4.267763008,0.502215295,Karina Nielsen
36,SC_Beach,BLK,"BLACKS, California",2011,October,10,27,27-Oct-11,A,HTS,0,0,0,0.027,0.0147,0.0167,0.0194,0.0614,9.5927,23.1937,32.5892,8.1908,2.0005,0.2824,0.0153,0.0027,76.0065,0.419478218,0.352147808,0.321950398,0.281439423,1.936931149,0.208495026,0.09989476,0.044197158,0.044197158,0.044197158,0.143689931,2.88354959,3.852851363,0.498188622,Karina Nielsen
37,SC_Beach,BLK,"BLACKS, California",2011,October,10,27,27-Oct-11,A,WTO,0,0,0,0,0,0,0.0035,0.0469,3.227,27.3664,50.2583,5.826,0.9303,0.0762,0.0153,0.0137,87.7636,0.345931968,0.32470676,0.300948435,0.268530257,1.988237401,0.218769005,0.184126669,0.147030906,0.044197158,0.044197158,0.213122272,2.000644632,10.04906419,0.467366687,Karina Nielsen
38,SC_Beach,BLK,"BLACKS, California",2011,October,10,27,27-Oct-11,B,HTS,0,0,0,0,0,0.0045,0.0108,0.2523,14.5247,32.7864,27.2044,3.6544,1.0112,0.149,0.0092,0.023,79.6299,0.446618981,0.396391959,0.349076506,0.317398256,1.731920857,0.242413552,0.173184078,0.044197158,0.044197158,0.044197158,0.155223434,2.988940563,6.824927415,0.480837399,Karina Nielsen
39,SC_Beach,BLK,"BLACKS, California",2011,October,10,27,27-Oct-11,B,WTO,0,0,0,0,0.0015,0.0074,0.0053,0.0395,1.5825,13.2798,44.9442,24.0563,9.3677,1.2139,0.0836,0.0053,94.587,0.323846982,0.284230333,0.247926459,0.231304007,2.167808082,0.190748754,0.142140206,0.124620061,0.099812602,0.044197158,0.180630402,1.953979974,4.504163214,0.493171093,Karina Nielsen
40,SC_Beach,BLK,"BLACKS, California",2011,October,10,27,27-Oct-11,C,HTS,0,0,0,0,0,0.0007,0.0043,0.139,12.4478,37.5536,31.4186,4.2693,1.0213,0.1228,0.0111,0.0278,87.0163,0.436777765,0.38001729,0.342613913,0.315307089,1.731778045,0.250343196,0.19005808,0.145064621,0.044197158,0.044197158,0.231722087,2.197998628,6.970517976,0.477807592,Karina Nielsen
41,SC_Beach,BLK,"BLACKS, California",2011,October,10,27,27-Oct-11,C,WTO,0,0,0,0,0,0.022,0.0392,0.0604,5.5389,22.4066,52.3207,13.4879,3.6203,0.4837,0.0378,0.0131,98.0306,0.368479159,0.33060931,0.301308449,0.262153497,2.018471657,0.216201319,0.183206326,0.161113781,0.138095197,0.112250292,0.218944537,1.574077159,1.161148154,0.574337908,Karina Nielsen
42,SC_Beach,CAR,"CARLSBAD, California",2011,October,10,13,13-Oct-11,A,HTS,0,0,0,0,0,0.0024,0.0232,0.2587,9.6301,30.1501,32.2619,12.3017,5.4954,0.3519,0.0193,0.0095,90.5042,0.421962077,0.353213633,0.329674209,0.297273532,1.833093423,0.224698856,0.163956904,0.127237283,0.089084126,0.044197158,0.211235419,2.230167161,4.567941351,0.485151329,Karina Nielsen
43,SC_Beach,CAR,"CARLSBAD, California",2011,October,10,13,13-Oct-11,A,WTO,0,0,0,0,0,0.0075,0.0197,0.0582,8.4838,20.5558,44.2251,15.4959,3.1358,0.1936,0.0153,0.0238,92.2145,0.40905926,0.34513445,0.311928946,0.268013535,2.009892572,0.212279931,0.170378902,0.139315288,0.110037322,0.044197158,0.209727058,2.13359604,3.0117127,0.505980175,Karina Nielsen
44,SC_Beach,CAR,"CARLSBAD, California",2011,October,10,13,13-Oct-11,B,HTS,0,0,0,0,0.0046,0.0026,0.0481,0.2123,5.9708,26.9043,28.0749,14.0979,10.0559,0.5561,0.0111,0.0167,85.9553,0.379911403,0.336838031,0.311784911,0.277655355,1.941594838,0.203039125,0.125978924,0.092671087,0.044197158,0.044197158,0.180354242,2.318994432,4.848881283,0.479763555,Karina Nielsen
45,SC_Beach,CAR,"CARLSBAD, California",2011,October,10,13,13-Oct-11,B,WTO,0,0,0,0,0.0046,0.0189,0.0198,0.0986,6.2401,22.3883,45.4776,13.1753,2.3037,0.14,0.0195,0.0086,89.895,0.381767309,0.33430413,0.304652698,0.265033004,2.013519843,0.212662863,0.173320317,0.136784046,0.044197158,0.044197158,0.206939809,2.094322191,4.062787785,0.493340432,Karina Nielsen
46,SC_Beach,CAR,"CARLSBAD, California",2011,October,10,13,13-Oct-11,C,HTS,0,0,0,0,0,0,0.0321,0.2277,12.1902,39.4724,35.2072,5.4472,3.7186,0.2095,0.0061,0.0158,96.5268,0.436967893,0.37906597,0.342711216,0.316672627,1.722307232,0.25426309,0.199202907,0.18231417,0.147275056,0.099735467,0.251387698,1.694052824,1.895349285,0.52405594,Karina Nielsen
47,SC_Beach,CAR,"CARLSBAD, California",2011,October,10,13,13-Oct-11,C,WTO,0,0,0,0.0151,0,0.0073,0.0362,0.1484,3.1801,19.0296,40.5183,9.3989,2.2298,0.1577,0.0184,0.0046,74.7444,0.343326868,0.313444785,0.280999118,0.244543969,2.093578704,0.19746514,0.044197158,0.044197158,0.044197158,0.044197158,0.134853818,2.650977349,5.474479114,0.491118333,Karina Nielsen
48,SC_Beach,DUM,"LITTLE DUME, California",2011,October,10,12,12-Oct-11,A,HTS,0,0,0,0.1173,0.2419,0.9248,4.7118,16.7667,42.9542,18.6676,4.2082,0.5769,0.152,0.0069,0.0064,0.0162,89.3509,0.760847596,0.650943441,0.575019142,0.491061978,1.084246709,0.401361932,0.297588455,0.251797577,0.044197158,0.044197158,0.387337914,2.503995374,6.382500939,0.484362084,Karina Nielsen
49,SC_Beach,DUM,"LITTLE DUME, California",2011,October,10,12,12-Oct-11,A,WTO,0,0,0,0.0124,0.0321,0.1579,0.6475,3.0756,21.6472,43.0313,28.1981,1.3075,0.2126,0.0089,0.0057,0.0112,98.348,0.491479699,0.453670845,0.412119547,0.35681798,1.551442787,0.290418818,0.231107158,0.206906673,0.192197868,0.180742502,0.291479146,1.52553966,0.914943114,0.602774282,Karina Nielsen
50,SC_Beach,DUM,"LITTLE DUME, California",2011,October,10,12,12-Oct-11,B,HTS,0,0,0,0.4691,0.9341,2.3474,7.5563,18.0761,32.1472,16.0992,3.4839,0.4797,0.1182,0.0069,0.0061,0.0115,81.7357,0.944307774,0.750792664,0.646265361,0.543840861,1.009596481,0.400358134,0.264566805,0.044197158,0.044197158,0.044197158,0.225294864,4.204205545,4.668287377,0.499934086,Karina Nielsen
51,SC_Beach,DUM,"LITTLE DUME, California",2011,October,10,12,12-Oct-11,B,WTO,0.1154,0,0.0289,0,0.0405,0.1073,0.2951,1.4099,11.8481,34.3098,41.3966,6.3518,0.5105,0.0028,0.0014,0.0144,96.4325,0.457961882,0.395650833,0.345948944,0.315886025,1.735425447,0.246175541,0.1996865,0.185193642,0.172510705,0.131321687,0.250780826,1.597606075,0.966391004,0.583254643,Karina Nielsen
52,SC_Beach,DUM,"LITTLE DUME, California",2011,October,10,12,12-Oct-11,C,HTS,0,0,0,0.3774,0.3981,1.5782,5.8418,19.4578,38.8475,18.5617,3.9958,0.7886,0.1457,0.0028,0.003,0.002,90.0004,0.854710608,0.684746669,0.615344302,0.524204285,1.030204003,0.409633908,0.301680401,0.255016665,0.044197158,0.044197158,0.400584568,2.613626914,4.773391358,0.490848341,Karina Nielsen
53,SC_Beach,DUM,"LITTLE DUME, California",2011,October,10,12,12-Oct-11,C,WTO,0,0,0,0.0321,0.0906,0.3432,1.2409,4.0086,22.0971,38.6292,21.9811,3.4081,0.3414,0.0196,0.0163,0.0086,92.2168,0.531909557,0.467511698,0.425524141,0.369506248,1.528314073,0.28974448,0.218449763,0.189550812,0.150587007,0.044197158,0.28590495,2.279872192,5.880945846,0.480146949,Karina Nielsen
54,SC_Beach,ELJ,"SAN ELIJO, California",2011,October,10,1,11-Oct,A,HTS,0,0,0,0,0,0,0.0005,0.0234,2.5348,18.4365,31.8855,5.9145,0.9819,0.1077,0.0128,0.0027,59.9003,0.337702687,0.307408279,0.27462041,0.2393585,2.14120525,0.182406078,0.044197158,0.044197158,0.044197158,0.044197158,0.130333328,2.624941696,4.222849623,0.49334215,Karina Nielsen
55,SC_Beach,ELJ,"SAN ELIJO, California",2011,October,10,1,11-Oct,A,WTO,0,0,0,0,0.0021,0.0134,0.0401,0.0823,6.0898,8.1104,54.5321,13.4954,6.4316,0.6794,0.0391,0.0167,89.5324,0.379147203,0.300925459,0.247380863,0.233628371,2.143602575,0.199307729,0.151034707,0.114467309,0.044197158,0.044197158,0.178042591,2.075030742,3.037100919,0.529013962,Karina Nielsen
56,SC_Beach,ELJ,"SAN ELIJO, California",2011,October,10,1,11-Oct,B,HTS,0,0,0,0,0,0,0.0109,0.0523,0.9015,12.2484,54.7182,17.3122,4.8865,0.301,0.022,0.0068,90.4598,0.315411768,0.27380193,0.245633274,0.232023066,2.153394117,0.198045236,0.153456835,0.128156463,0.089211742,0.044197158,0.18404783,1.923125203,6.382394797,0.485724839,Karina Nielsen
57,SC_Beach,ELJ,"SAN ELIJO, California",2011,October,10,1,11-Oct,B,WTO,0,0,0,0,0,0,0.0069,0.0366,1.4969,14.5907,50.0945,16.7765,4.0619,0.2171,0.0235,0.0138,87.3184,0.325669397,0.28920046,0.250787228,0.235128857,2.138427372,0.197784397,0.1474759,0.1148029,0.044197158,0.044197158,0.1785734,2.003013108,5.645065234,0.489707949,Karina Nielsen
58,SC_Beach,ELJ,"SAN ELIJO, California",2011,October,10,1,11-Oct,C,HTS,0,0,0,0,0,0.0023,0.0179,0.0541,6.1042,26.6294,45.0919,10.0246,2.5873,0.3588,0.0204,0.0148,90.9057,0.378027285,0.336407231,0.311137808,0.276747678,1.947278196,0.219062341,0.180767566,0.143169807,0.094664052,0.044197158,0.213693175,2.076383354,5.694811302,0.479509185,Karina Nielsen
59,SC_Beach,ELJ,"SAN ELIJO, California",2011,October,10,1,11-Oct,C,WTO,0,0,0,0,0,0,0.0044,0.0589,3.4897,30.4044,41.809,6.6351,1.4983,0.1467,0.0101,0.0151,84.0717,0.34777764,0.328511077,0.306794841,0.276882243,1.934920604,0.218876902,0.177909987,0.069761258,0.044197158,0.044197158,0.167322404,2.425410575,15.88385453,0.460753893,Karina Nielsen
60,SC_Beach,CLM,"SAN CLEMENTE, California",2011,November,11,8,8-Nov-11,A,HTS,0,0,0,0.0174,0.0931,0.4917,2.6503,11.5329,44.9919,17.3768,7.2337,0.6645,0.4671,0.0431,0.005,0.0101,85.5776,0.670937807,0.577336558,0.495351303,0.462174034,1.169081546,0.381217523,0.260982326,0.180098569,0.044197158,0.044197158,0.3239904,2.541983591,10.73200543,0.47491571,Karina Nielsen
61,SC_Beach,CLM,"SAN CLEMENTE, California",2011,November,11,8,8-Nov-11,A,WTO,6.4578,10.0247,14.6331,11.0309,10.9342,6.9555,6.8936,7.8245,14.5375,12.4402,10.6229,1.6547,0.4457,0.0299,0.0039,0.0049,114.494,3.825376694,5.004673996,4.06716,3.269177288,-1.538119059,1.55925905,0.497087341,0.401099949,0.346654144,0.301579833,1.365067245,3.367655364,11.68715724,0.436854894,Karina Nielsen
62,SC_Beach,CLM,"SAN CLEMENTE, California",2011,November,11,8,8-Nov-11,B,HTS,0,0,0,1.9496,2.4571,5.8295,13.2426,22.5384,36.462,13.46,5.9442,0.5749,0.2442,0.0197,0.0038,0.007,102.733,1.365190758,1.014141238,0.859983737,0.690763953,0.644668654,0.481433041,0.379610504,0.339984381,0.291317159,0.256126972,0.520189641,1.916206566,0.65250434,0.691253615,Karina Nielsen
63,SC_Beach,CLM,"SAN CLEMENTE, California",2011,November,11,8,8-Nov-11,B,WTO,4.1964,3.0481,4.2667,8.1933,14.6075,17.86,20.2083,14.9526,10.6827,3.829,3.4722,0.8481,0.2424,0.02,0.0069,0.0064,106.4406,5.162711278,3.197747589,2.339243951,1.76384361,-0.647595413,1.043047569,0.665454794,0.540163506,0.458562941,0.38989931,1.096398139,2.751812961,0.713542887,0.701449492,Karina Nielsen
