Sid,Sur,Yr,Sea,Tran,Lat,Lon,Dep,Ele,Type,eMean,gMean,gMed
109,K,,,174,34.0125,-118.8197,0,BF,E,0.4113,,
110,K,,,175,34.0025,-118.8098,0,BF,E,0.4802,,
111,K,,,176,34.0012,-118.8079,0,BF,E,0.5593,,
112,S,6,W,,34.41658,-119.83139,0,BF,E,0.3433,,
113,S,6,W,,34.41644,-119.82836,0,BF,E,0.3131,,
114,S,6,W,,34.41636,-119.8295,0,BF,E,0.2359,,
115,S,6,W,,34.41636,-119.83056,0,BF,E,0.3409,,
116,S,6,W,,34.41614,-119.83275,0,BF,E,0.2705,,
117,S,6,W,,34.41592,-119.83383,0,BF,E,0.2999,,
118,S,6,W,,34.41567,-119.83483,0,BF,E,0.254,,
119,S,6,W,,34.41539,-119.83581,0,BF,E,0.3406,,
120,S,6,W,,34.415,-119.83686,0,BF,E,0.204,,
121,S,6,W,,34.41428,-119.83869,0,BF,E,0.2829,,
122,S,6,W,,34.41311,-119.84039,0,BF,E,0.2139,,
123,S,6,W,,34.41094,-119.8415,0,BF,E,0.2861,,
124,S,6,W,,34.40847,-119.84208,0,BF,E,0.3136,,
125,S,6,W,,34.40558,-119.84367,0,BF,E,0.3407,,
126,S,6,W,,34.40481,-119.84458,0,BF,E,0.2879,,
127,S,6,W,,34.40639,-119.84908,0,BF,E,0.3922,,
128,S,6,W,,34.40697,-119.85108,0,BF,E,0.3064,,
129,S,6,W,,34.40872,-119.85742,0,BF,E,0.3525,,
130,S,6,W,,34.40897,-119.85958,0,BF,E,0.2763,,
131,S,6,W,,34.40919,-119.86186,0,BF,E,0.2836,,
132,S,6,W,,34.40792,-119.87964,0,BF,E,0.3198,,
133,S,6,W,,34.40906,-119.88089,0,BF,E,0.3202,,
134,S,6,W,,34.41058,-119.88225,0,BF,E,0.3531,,
135,S,6,W,,34.41219,-119.88347,0,BF,B,0.3601,0.2912,0.2895
136,S,6,W,,34.41367,-119.88481,0,BF,E,0.3491,,
137,S,6,W,,34.41511,-119.88614,0,BF,E,0.2835,,
138,S,6,W,,34.41658,-119.88767,0,BF,E,0.3445,,
139,S,6,W,,34.41811,-119.88944,0,BF,E,0.4101,,
140,S,6,W,,34.41919,-119.89094,0,BF,E,0.3683,,
141,S,6,W,,34.41994,-119.89306,0,BF,E,0.3824,,
142,S,6,W,,34.42042,-119.89508,0,BF,E,0.3896,,
143,S,6,W,,34.42064,-119.89733,0,BF,E,0.2853,,
144,S,6,W,,34.421,-119.89933,0,BF,E,0.3609,,
145,S,6,W,,34.40689,-119.87814,0,BF,E,0.2434,,
146,S,6,W,,34.40822,-119.87636,0,BF,E,0.2858,,
147,S,6,W,,34.409,-119.87458,0,BF,E,0.2912,,
148,S,6,W,,34.40919,-119.87244,0,BF,E,0.2543,,
149,S,6,W,,34.40922,-119.87031,0,BF,E,0.2142,,
150,S,6,W,,34.40903,-119.86792,0,BF,B,0.1732,0.1692,0.1651
151,S,6,W,,34.40914,-119.86594,0,BF,E,0.1344,,
152,S,6,S,,34.4147,-119.83771,0,BF,E,0.2274,,
153,S,6,S,,34.4143,-119.83855,0,BF,E,0.2311,,
154,S,6,S,,34.41385,-119.83935,0,BF,E,0.2642,,
155,S,6,S,,34.41297,-119.84037,0,BF,E,0.2482,,
156,S,6,S,,34.41229,-119.84089,0,BF,E,0.2359,,
157,S,6,S,,34.4114,-119.84135,0,BF,E,0.2573,,
158,S,6,S,,34.41047,-119.84152,0,BF,E,0.2749,,
159,S,6,S,,34.40955,-119.8419,0,BF,E,0.1988,,
160,S,6,S,,34.40866,-119.84217,0,BF,E,0.299,,
161,S,6,S,,34.40746,-119.84252,0,BF,E,0.3338,,
162,S,6,S,,34.40611,-119.84355,0,BF,E,0.3478,,
163,S,6,S,,34.40544,-119.84373,0,BF,E,0.2538,,
164,S,6,S,,34.40467,-119.84438,0,BF,E,0.2552,,
165,S,6,S,,34.40515,-119.84562,0,BF,E,0.2768,,
166,S,6,S,,34.4056,-119.84663,0,BF,E,0.2443,,
167,S,6,S,,34.40599,-119.84772,0,BF,E,0.2463,,
168,S,6,S,,34.40646,-119.84887,0,BF,E,0.2655,,
169,S,6,S,,34.40702,-119.85019,0,BF,E,0.2234,,
170,S,6,S,,34.4077,-119.85207,0,BF,E,0.2096,,
171,S,6,S,,34.40845,-119.85441,0,BF,E,0.2295,,
172,S,6,S,,34.40884,-119.85639,0,BF,E,0.2564,,
173,S,6,S,,34.40902,-119.85933,0,BF,E,0.1846,,
174,S,6,S,,34.40936,-119.86251,0,BF,E,0.2527,,
175,S,6,S,,34.4092,-119.86549,0,BF,E,0.2447,,
176,S,6,S,,34.40903,-119.86707,0,BF,E,0.2556,,
177,S,6,S,,34.40912,-119.86957,0,BF,E,0.2189,,
178,S,6,S,,34.40917,-119.87205,0,BF,E,0.2544,,
179,S,6,S,,34.40859,-119.87559,0,BF,E,0.2405,,
180,S,6,S,,34.40669,-119.87862,0,BF,E,0.1671,,
181,S,6,S,,34.40768,-119.88029,0,BF,E,0.2181,,
182,S,6,S,,34.40925,-119.88161,0,BF,E,0.2681,,
183,S,6,S,,34.41225,-119.88408,0,BF,E,0.2493,,
184,S,6,S,,34.4144,-119.88605,0,BF,E,0.252,,
185,S,6,S,,34.41678,-119.82696,0,BF,E,0.2677,,
186,S,6,S,,34.41658,-119.82857,0,BF,E,0.375,,
187,S,6,S,,34.41649,-119.83083,0,BF,E,0.3174,,
188,S,6,S,,34.4159,-119.83452,0,BF,E,0.4126,,
189,S,6,S,,34.41558,-119.83569,0,BF,E,0.2472,,
190,S,6,S,,34.41502,-119.83689,0,BF,E,0.2721,,
191,S,7,W,,34.41636,-119.82775,0,BF,E,0.3069,,
192,S,7,W,,34.41664,-119.82827,0,BF,E,0.3452,,
193,S,7,W,,34.41634,-119.82844,0,BF,E,0.2455,,
194,S,7,W,,34.41628,-119.82941,0,BF,E,0.2128,,
195,S,7,W,,34.41619,-119.8318,0,BF,E,0.2631,,
196,S,7,W,,34.41607,-119.83274,0,BF,E,0.2375,,
197,S,7,W,,34.41588,-119.83388,0,BF,E,0.3378,,
198,S,7,W,,34.41555,-119.83508,0,BF,E,0.2554,,
199,S,7,W,,34.41528,-119.8358,0,BF,E,0.1581,,
200,S,7,W,,34.41495,-119.83682,0,BF,E,0.2552,,
201,S,7,W,,34.41425,-119.83839,0,BF,E,0.169,,
202,S,7,W,,34.41048,-119.84151,0,BF,E,0.1917,,
203,S,7,W,,34.40505,-119.84343,0,BF,E,0.2752,,
204,S,7,W,,34.40456,-119.84455,0,BF,E,0.2657,,
205,S,7,W,,34.40548,-119.84704,0,BF,E,0.295,,
206,S,7,W,,34.40704,-119.85091,0,BF,E,0.3221,,
207,S,7,W,,34.40823,-119.85547,0,BF,E,0.2774,,
208,S,7,W,,34.40929,-119.86248,0,BF,E,0.2243,,
209,S,7,W,,34.40909,-119.86957,0,BF,E,0.2043,,
210,S,7,W,,34.40905,-119.87292,0,BF,E,0.2706,,
211,S,7,W,,34.40767,-119.87981,0,BF,E,0.2793,,
212,S,7,W,,34.40874,-119.881,0,BF,E,0.2767,,
213,S,7,W,,34.40897,-119.88107,0,BF,E,0.2368,,
214,S,7,W,,34.41043,-119.88237,0,BF,E,0.2277,,
215,S,7,W,,34.41248,-119.88399,0,BF,E,0.2514,,
216,S,7,W,,34.41421,-119.88553,0,BF,E,0.2213,,
217,S,6,W,,34.39608,-119.53572,0,BF,E,0.243,,
218,S,6,W,,34.39608,-119.5345,0,BF,E,0.2932,,
219,S,6,W,,34.39611,-119.53453,0,BF,E,0.2858,,
220,S,6,W,,34.39589,-119.53342,0,BF,E,0.326,,
221,S,6,W,,34.39561,-119.53167,0,BF,E,0.3297,,
222,S,6,W,,34.39514,-119.5305,0,BF,E,0.3367,,
223,S,6,W,,34.39467,-119.52919,0,BF,E,0.2677,,
224,S,6,W,,34.39422,-119.52803,0,BF,E,0.4318,,
225,S,6,W,,34.39369,-119.52694,0,BF,E,0.3887,,
226,S,6,W,,34.39333,-119.52619,0,BF,B,0.2435,0.2538,0.2499
227,S,6,W,,34.39286,-119.52528,0,BF,E,0.3309,,
228,S,6,W,,34.39197,-119.52419,0,BF,E,0.4087,,
229,S,6,W,,34.39172,-119.52322,0,BF,E,0.3925,,
230,S,6,W,,34.39078,-119.52156,0,BF,E,0.3426,,
231,S,6,W,,34.38958,-119.52008,0,BF,E,0.3306,,
232,S,6,W,,34.38853,-119.51833,0,BF,E,0.271,,
233,S,6,W,,34.38711,-119.51342,0,BF,E,0.2384,,
234,S,6,S,,34.39623,-119.53488,0,BF,E,0.2914,,
235,S,6,S,,34.39612,-119.53442,0,BF,E,0.3068,,
236,S,6,S,,34.39605,-119.53402,0,BF,E,0.2746,,
237,S,6,S,,34.39601,-119.53364,0,BF,E,0.2576,,
238,S,6,S,,34.39589,-119.53268,0,BF,E,0.2466,,
239,S,6,S,,34.39573,-119.53183,0,BF,E,0.2359,,
240,S,6,S,,34.39549,-119.53098,0,BF,E,0.2515,,
241,S,6,S,,34.39518,-119.53001,0,BF,E,0.2366,,
242,S,6,S,,34.39482,-119.52912,0,BF,E,0.2237,,
243,S,6,S,,34.39453,-119.5284,0,BF,E,0.2438,,
244,S,6,S,,34.39421,-119.52757,0,BF,E,0.2458,,
245,S,6,S,,34.39383,-119.52668,0,BF,E,0.2746,,
246,S,6,S,,34.39339,-119.52591,0,BF,E,0.2475,,
247,S,6,S,,34.39296,-119.52513,0,BF,E,0.2532,,
248,S,6,S,,34.39247,-119.52417,0,BF,E,0.2581,,
249,S,6,S,,34.39204,-119.52341,0,BF,E,0.2456,,
250,S,6,S,,34.39159,-119.52262,0,BF,E,0.2654,,
251,S,6,S,,34.39108,-119.52188,0,BF,E,0.2278,,
252,S,6,S,,34.39049,-119.52116,0,BF,E,0.2437,,
253,S,6,S,,34.38994,-119.52036,0,BF,E,0.2952,,
254,S,6,S,,34.38949,-119.51962,0,BF,E,0.2157,,
255,S,6,S,,34.38902,-119.51901,0,BF,E,0.2129,,
256,S,6,S,,34.38857,-119.51834,0,BF,E,0.2372,,
257,S,6,S,,34.38796,-119.51742,0,BF,E,0.2568,,
258,S,6,S,,34.38742,-119.51641,0,BF,E,0.2806,,
259,S,6,S,,34.38745,-119.5151,0,BF,E,0.2517,,
260,S,6,S,,34.38727,-119.514,0,BF,E,0.3363,,
261,S,6,S,,34.38714,-119.51315,0,BF,E,0.275,,
262,S,6,S,,34.38682,-119.51227,0,BF,E,0.2687,,
263,S,7,W,,34.39605,-119.53397,0,BF,E,0.2875,,
264,S,7,W,,34.39594,-119.53305,0,BF,E,0.2434,,
265,S,7,W,,34.39577,-119.53282,0,BF,E,0.339,,
266,S,7,W,,34.39571,-119.53243,0,BF,E,0.289,,
267,S,7,W,,34.39532,-119.53098,0,BF,E,0.2825,,
268,S,7,W,,34.39511,-119.53037,0,BF,E,0.2905,,
269,S,7,W,,34.39478,-119.5294,0,BF,E,0.3197,,
270,S,7,W,,34.39493,-119.52928,0,BF,E,0.2708,,
271,S,7,W,,34.39438,-119.5281,0,BF,E,0.4838,,
272,S,7,W,,34.39381,-119.52691,0,BF,E,0.3126,,
273,S,7,W,,34.39307,-119.52568,0,BF,E,0.3576,,
274,S,7,W,,34.39266,-119.52397,0,BF,E,0.3092,,
275,S,7,W,,34.39221,-119.52341,0,BF,E,0.2024,,
276,S,7,W,,34.39157,-119.5222,0,BF,E,0.2043,,
277,S,7,W,,34.39026,-119.52036,0,BF,E,0.2439,,
278,S,7,W,,34.3886,-119.51766,0,BF,E,0.2166,,
279,S,7,W,,34.38755,-119.51446,0,BF,E,0.2833,,
280,S,6,W,,34.24489,-119.26769,0,BF,B,1.0459,0.4796,0.4773
281,S,6,W,,34.20672,-119.25422,0,BF,E,0.8116,,
282,S,6,W,,34.21486,-119.25853,0,BF,E,0.6368,,
283,S,6,W,,34.21917,-119.26108,0,BF,E,0.5703,,
284,S,6,W,,34.22361,-119.26389,0,BF,E,0.4259,,
285,S,6,W,,34.22756,-119.26536,0,BF,E,0.3927,,
286,S,6,W,,34.23144,-119.26692,0,BF,B,0.3685,0.245,0.241
287,S,6,W,,34.23492,-119.26722,0,BF,E,0.294,,
288,S,6,W,,34.23803,-119.26722,0,BF,E,0.3262,,
289,S,6,W,,34.24208,-119.26739,0,BF,E,0.5609,,
290,S,6,W,,34.27397,-119.28894,0,BF,E,0.2906,,
291,S,6,W,,34.27067,-119.28361,0,BF,B,0.3049,0.2885,0.2813
292,S,6,W,,34.26611,-119.27825,0,BF,E,0.3045,,
293,S,6,W,,34.26006,-119.27339,0,BF,E,0.3519,,
294,S,6,W,,34.25603,-119.27114,0,BF,E,0.3247,,
295,S,6,W,,34.27394,-119.30092,0,BF,E,0.5451,,
296,S,6,W,,34.27308,-119.30528,0,BF,E,0.4311,,
297,S,6,W,,34.27372,-119.30608,0,BF,E,0.4251,,
298,S,6,W,,34.27453,-119.30844,0,BF,E,0.4364,,
299,S,6,W,,34.27536,-119.29169,0,BF,E,0.3482,,
300,S,6,S,,34.2203,-119.2619,0,BF,E,0.4015,,
301,S,6,S,,34.2138,-119.2586,0,BF,E,0.242,,
302,S,6,S,,34.207,-119.2543,0,BF,E,0.3663,,
303,S,6,S,,34.2021,-119.2517,0,BF,E,0.2609,,
304,S,6,S,,34.198,-119.2493,0,BF,E,0.2977,,
305,S,6,S,,34.2139,-119.2581,0,BF,E,0.4415,,
306,S,6,S,,34.2236,-119.2637,0,BF,E,0.3734,,
307,S,6,S,,34.2277,-119.2656,0,BF,E,0.3812,,
308,S,6,S,,34.2317,-119.267,0,BF,E,0.334,,
309,S,6,S,,34.235,-119.2676,0,BF,E,0.3845,,
310,S,6,S,,34.2382,-119.2677,0,BF,E,0.3522,,
311,S,6,S,,34.2418,-119.2681,0,BF,E,0.3661,,
312,S,6,S,,34.244,-119.2681,0,BF,E,0.2145,,
313,S,6,S,,34.2545,-119.2707,0,BF,E,0.324,,
314,S,6,S,,34.2657,-119.2779,0,BF,E,0.2534,,
315,S,6,S,,34.2701,-119.282,0,BF,E,0.272,,
316,S,6,S,,34.2738,-119.2888,0,BF,E,0.2669,,
317,S,6,S,,34.2752,-119.2928,0,BF,E,0.1684,,
318,S,7,W,,34.27549,-119.29528,0,BF,E,0.6235,,
319,S,7,W,,34.27176,-119.28482,0,BF,E,0.3687,,
320,S,7,W,,34.26664,-119.27896,0,BF,E,0.3295,,
321,S,7,W,,34.26226,-119.27512,0,BF,E,0.287,,
322,S,7,W,,34.25501,-119.27096,0,BF,E,0.421,,
323,S,7,W,,34.24391,-119.26775,0,BF,E,1.1742,,
324,S,7,W,,34.23922,-119.26743,0,BF,E,0.2939,,
325,S,7,W,,34.23495,-119.26765,0,BF,E,0.2915,,
326,N,,,1,34.44705,-120.47138,10,O,B,0.1678,0.189,0.1842
327,N,,,1,34.44372,-120.47179,20,O,E,0.141,,
328,N,,,2,34.44631,-120.46303,5,O,E,0.1509,,
329,N,,,2,34.4448,-120.46301,10,O,B,0.1482,0.1139,0.1138
330,N,,,2,34.44008,-120.46232,20,O,E,0.1791,,
331,N,,,3,34.44075,-120.45289,5,O,B,0.2217,0.2234,0.2182
332,N,,,3,34.4402,-120.4529,10,O,B,0.2211,0.2004,0.1948
333,N,,,3,34.43857,-120.45285,20,O,E,0.3155,,
334,N,,,3,34.44782,-120.44348,5,O,B,0.1666,0.1295,0.1256
335,N,,,3,34.44623,-120.44416,10,O,B,0.1228,0.1546,0.1392
336,N,,,3,34.44071,-120.44464,20,O,E,0.1178,,
337,N,,,4,34.4477,-120.43867,5,O,E,0.1432,,
338,N,,,4,34.44769,-120.43869,10,O,E,0.1042,,
339,N,,,4,34.44239,-120.43807,20,O,E,0.1025,,
340,N,,,6,34.4491,-120.41743,5,O,E,0.1125,,
341,N,,,6,34.44648,-120.4178,10,O,E,0.0821,,
342,N,,,6,34.44122,-120.41878,20,O,E,0.0886,,
343,N,,,10,34.4549,-120.36644,5,O,E,0.1993,,
344,N,,,10,34.45302,-120.3673,10,O,E,0.1055,,
345,N,,,10,34.43973,-120.37117,20,O,N,,,
346,N,,,15,34.46168,-120.32231,5,O,E,0.1288,,
347,N,,,15,34.46045,-120.32213,10,O,E,0.0901,,
348,N,,,15,34.45492,-120.32132,20,O,E,0.083,,
349,N,,,20,34.46599,-120.26441,5,O,E,0.1472,,
350,N,,,20,34.46181,-120.26556,10,O,E,0.0925,,
351,N,,,20,34.45119,-120.26747,20,O,E,0.1302,,
352,N,,,24,34.46948,-120.22713,5,O,B,0.114,0.2212,0.2129
353,N,,,24,34.46563,-120.22719,10,O,B,0.0988,0.108,0.0899
354,N,,,24,34.45721,-120.22758,20,O,B,0.1349,0.1999,0.1934
355,N,,,30,34.4706,-120.1589,5,O,E,0.1961,,
356,N,,,30,34.46922,-120.1584,10,O,E,0.1148,,
357,N,,,30,34.46622,-120.15816,20,O,E,0.0866,,
358,N,,,35,34.46475,-120.10824,5,O,E,0.1423,,
359,N,,,35,34.463,-120.10848,10,O,E,0.0896,,
360,N,,,35,34.45829,-120.06874,20,O,E,0.0834,,
361,N,,,38,34.45828,-120.06873,5,O,B,0.865,0.1697,0.1653
362,N,,,38,34.45827,-120.06873,10,O,B,0.0782,0.1223,0.1192
363,N,,,38,34.45588,-120.06815,20,O,B,0.0836,0.0768,0.0748
364,N,,,40,34.45506,-119.99955,5,O,E,0.1156,,
365,N,,,40,34.45873,-120.05056,10,O,E,0.0907,,
366,N,,,40,34.45568,-120.0518,20,O,E,0.0872,,
367,N,,,45,34.45507,-119.99954,5,O,E,0.1466,,
368,N,,,45,34.45325,-119.99972,10,O,E,0.0872,,
369,N,,,45,34.44883,-120.00021,20,O,E,0.086,,
370,N,,,50,34.43424,-119.93797,5,O,G,0.1457,0.1388,
371,N,,,50,34.43088,-119.94074,10,O,E,0.1163,,
372,N,,,50,34.42037,-119.95074,20,O,E,0.7083,,
373,N,,,54,34.42762,-119.91366,5,O,E,0.154,,
374,N,,,54,34.42482,-119.915,10,O,E,0.0835,,
375,N,,,54,34.41938,-119.91654,20,O,E,0.0825,,
376,N,,,55,34.42114,-119.90409,5,O,E,0.2076,,
377,N,,,55,34.41904,-119.90556,10,O,N,,,
378,N,,,55,34.41624,-119.90709,20,O,E,0.0825,,
379,N,,,56,34.41827,-119.89267,5,O,E,0.1813,,
380,N,,,56,34.41637,-119.89379,10,O,E,0.1612,,
381,N,,,56,34.4113,-119.89636,20,O,E,0.0792,,
382,N,,,57,34.41013,-119.88443,5,O,E,0.2282,,
383,N,,,57,34.40814,-119.88439,10,O,E,0.1345,,
384,N,,,57,34.40293,-119.88442,20,O,E,0.0922,,
385,N,,,58,34.40577,-119.8769,5,O,E,0.1576,,
386,N,,,58,34.40368,-119.87667,10,O,N,,,
387,N,,,58,34.40149,-119.87621,20,O,E,0.157,,
388,N,,,59,34.40368,-119.87844,5,O,E,0.1707,,
389,N,,,59,34.40239,-119.86345,10,O,N,,,
390,N,,,59,34.39997,-119.86335,20,O,E,0.0854,,
391,N,,,60,34.4066,-119.8531,5,O,N,,,
392,N,,,60,34.40283,-119.85385,10,O,E,0.1133,,
393,N,,,60,34.39911,-119.85398,20,O,E,0.0995,,
394,N,,,61,34.40396,-119.84391,5,O,N,,,
395,N,,,61,34.40229,-119.84354,10,O,E,0.1585,,
396,N,,,61,34.40013,-119.84263,20,O,E,0.0847,,
397,N,,,61,34.40558,-119.84166,5,O,E,0.1254,,
398,N,,,61,34.40385,-119.83896,10,O,E,0.0967,,
399,N,,,61,34.40251,-119.83426,20,O,E,0.0853,,
400,N,,,62,34.41421,-119.83186,5,O,E,0.0884,,
401,N,,,62,34.40793,-119.82951,10,O,E,0.0878,,
402,N,,,62,34.40402,-119.82646,20,O,E,0.08,,
403,N,,,63,34.41479,-119.823,5,O,E,0.08,,
404,N,,,63,34.40991,-119.82132,10,O,E,0.0941,,
405,N,,,63,34.4032,-119.81884,20,O,E,0.1071,,
406,N,,,64,34.4153,-119.8114,5,O,N,,,
407,N,,,64,34.4109,-119.81084,10,O,E,0.0785,,
408,N,,,64,34.40315,-119.80963,20,O,E,0.1201,,
409,N,,,65,34.41438,-119.8056,5,O,E,0.323,,
410,N,,,65,34.41117,-119.8045,10,O,E,0.0892,,
411,N,,,65,34.40393,-119.8015,20,O,E,0.1034,,
412,N,,,66,34.41615,-119.7911,5,O,E,0.1609,,
413,N,,,66,34.41032,-119.79178,10,O,E,0.0826,,
