,Sample_ID,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,d95,dataset,Date,beach_slope,lower_conf_bound,upper_conf_bound,width_ci,quality_flag,sl_points,trend,latitude,longitude,geometry,dir,hs_mean,hs_max,tp,dist
2157,HBFL01,0.29063854908125,0.314510226243627,0.34315623883848,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.686741804961601,0.774848935957621,0.848271545120971,sandsnap,2021-06-11,0.095,0.0786,0.1247,0.0461,Medium,436.0,0.08932544453045613,26.29547846839613,-80.07645192089612,POINT (-80.07645192089612 26.29547846839613),81.01065921065289,0.5944918549713921,0.724963398375301,6.844035967258744,6.844035967258744
2269,PBCFL-R219-012720,0.256557807018857,0.277543792392077,0.302726974839942,0.334742903980859,0.352099736327666,0.421527065714894,0.477400413623877,0.545954858247108,0.607653858408016,0.685840440027385,0.750995924710192,sandsnap,2021-09-15,0.085,0.0718,0.1096,0.0378,Medium,380.0,0.48501769592240984,26.3465214189996,-80.06901280176655,POINT (-80.06901280176655 26.3465214189996),66.09605197019204,0.8315069703170939,0.9930310411069253,7.237247179344003,7.237247179344003
2270,PBCFL-R219-012720,0.256557807018857,0.277543792392077,0.302726974839942,0.334742903980859,0.352099736327666,0.421527065714894,0.477400413623877,0.545954858247108,0.607653858408016,0.685840440027385,0.750995924710192,sandsnap,2021-09-15,0.075,0.0633,0.0984,0.0351,Medium,378.0,0.5947486893457922,26.3469719180217,-80.06898169754199,POINT (-80.06898169754199 26.3469719180217),66.1788651519088,0.8398578700059481,1.0012824836082708,7.309106356889817,7.309106356889817
2271,PBCFL-R219-012720,0.256557807018857,0.277543792392077,0.302726974839942,0.334742903980859,0.352099736327666,0.421527065714894,0.477400413623877,0.545954858247108,0.607653858408016,0.685840440027385,0.750995924710192,sandsnap,2021-09-15,0.065,0.0547,0.0865,0.0318,Medium,382.0,0.7222842932679846,26.347421992013743,-80.0689461942374,POINT (-80.0689461942374 26.347421992013743),66.43271438219855,0.8449705460794505,1.0051008614336496,7.356746820338904,7.356746820338904
2272,PBCFL-R219-012720,0.256557807018857,0.277543792392077,0.302726974839942,0.334742903980859,0.352099736327666,0.421527065714894,0.477400413623877,0.545954858247108,0.607653858408016,0.685840440027385,0.750995924710192,sandsnap,2021-09-15,0.07,0.0584,0.0828,0.0244,High,377.0,0.6841675522653907,26.347870308186103,-80.06889161763034,POINT (-80.06889161763034 26.347870308186103),67.13921842239485,0.8460101333744513,1.004451940049993,7.381619050040928,7.381619050040928
2478,01282020 DELRAY FL,0.0726544646055232,0.0786261646543436,0.085792204712928,0.0947794507025895,0.0996417289830359,0.119090842104821,0.134839207883276,0.154180750918763,0.171588139650701,0.193590052868826,0.211924980550597,sandsnap,2021-09-15,0.125,0.073,0.2,0.127,Low,385.0,0.9020879631753216,26.44047641650461,-80.05926968931854,POINT (-80.05926968931854 26.44047641650461),68.6559924479493,0.8425809509238068,0.9983221644951139,7.379679295654722,7.379679295654722
2479,01282020 DELRAY FL,0.0726544646055232,0.0786261646543436,0.085792204712928,0.0947794507025895,0.0996417289830359,0.119090842104821,0.134839207883276,0.154180750918763,0.171588139650701,0.193590052868826,0.211924980550597,sandsnap,2021-09-15,0.17,0.0859,0.2,0.1141,Low,386.0,0.8890533446692296,26.44092370802256,-80.05920137512284,POINT (-80.05920137512284 26.44092370802256),70.38163475460331,0.8404930213847897,0.9946531993937119,7.378286800628523,7.378286800628523
2480,01282020 DELRAY FL,0.0726544646055232,0.0786261646543436,0.085792204712928,0.0947794507025895,0.0996417289830359,0.119090842104821,0.134839207883276,0.154180750918763,0.171588139650701,0.193590052868826,0.211924980550597,sandsnap,2021-09-15,0.125,0.0898,0.2,0.1102,Low,380.0,0.8197848321599532,26.441374107725686,-80.05916231945434,POINT (-80.05916231945434 26.441374107725686),70.705740359853,0.8474980075990654,1.0006992626877214,7.39976746787438,7.39976746787438
2481,01282020 DELRAY FL,0.0726544646055232,0.0786261646543436,0.085792204712928,0.0947794507025895,0.0996417289830359,0.119090842104821,0.134839207883276,0.154180750918763,0.171588139650701,0.193590052868826,0.211924980550597,sandsnap,2021-09-15,0.16,0.1024,0.2,0.0976,Low,386.0,0.7115823786472403,26.44182152085653,-80.05909515316293,POINT (-80.05909515316293 26.44182152085653),70.221284673623,0.8639401446882877,1.0182675515534627,7.463964732881321,7.463964732881321
2547,01282020 Delray Beach 3,0.51367092276741,0.555832210752669,0.60642575633498,0.670135130646459,0.704629087690364,0.842604915865985,0.954095717759676,1.09100096648869,1.2142156903448,1.37006533721172,1.49994004293415,sandsnap,2021-09-15,0.085,0.0711,0.1109,0.0398,Medium,405.0,0.28695817714101274,26.471373200722002,-80.05476442615897,POINT (-80.05476442615897 26.471373200722002),69.04470787859582,0.8910086978532785,1.048334047353491,7.591386221397252,7.591386221397252
2548,01282020 Delray Beach 3,0.51367092276741,0.555832210752669,0.60642575633498,0.670135130646459,0.704629087690364,0.842604915865985,0.954095717759676,1.09100096648869,1.2142156903448,1.37006533721172,1.49994004293415,sandsnap,2021-09-15,0.085,0.0724,0.1083,0.0359,Medium,400.0,0.295696237068901,26.47182452641527,-80.05473122784288,POINT (-80.05473122784288 26.47182452641527),70.04467282508001,0.650308588093471,0.7609711349589293,8.004959507706415,8.004959507706415
2549,01282020 Delray Beach 3,0.51367092276741,0.555832210752669,0.60642575633498,0.670135130646459,0.704629087690364,0.842604915865985,0.954095717759676,1.09100096648869,1.2142156903448,1.37006533721172,1.49994004293415,sandsnap,2021-09-15,0.09,0.0741,0.1105,0.0364,Medium,402.0,0.3197070008993158,26.472268191034885,-80.05463250459056,POINT (-80.05463250459056 26.472268191034885),70.74511132778672,0.7798538619120521,0.9127835770198274,7.8694597041535195,7.8694597041535195
2550,01282020 Delray Beach 3,0.51367092276741,0.555832210752669,0.60642575633498,0.670135130646459,0.704629087690364,0.842604915865985,0.954095717759676,1.09100096648869,1.2142156903448,1.37006533721172,1.49994004293415,sandsnap,2021-09-15,0.09,0.0769,0.1109,0.034,Medium,395.0,0.3673344233119114,26.472716362326288,-80.05457232682308,POINT (-80.05457232682308 26.472716362326288),73.85677224873956,0.5665555924489449,0.6618742248024357,8.170327182788698,8.170327182788698
2551,01282020 Delray Beach 3,0.51367092276741,0.555832210752669,0.60642575633498,0.670135130646459,0.704629087690364,0.842604915865985,0.954095717759676,1.09100096648869,1.2142156903448,1.37006533721172,1.49994004293415,sandsnap,2021-09-15,0.095,0.0789,0.1183,0.0394,Medium,392.0,0.36862479635792494,26.47316361154407,-80.05450426174893,POINT (-80.05450426174893 26.47316361154407),75.0685407072079,0.6204012681383656,0.7223644836972101,8.036664212342586,8.036664212342586
2709,01292020 Boynton Beach Inlet,0.601484563651491,0.650748244778205,0.709864662130262,0.784778057406605,0.825369010314623,0.987732821946695,1.11856656191342,1.27915344473904,1.42368163928209,1.60671295828987,1.75923905746301,sandsnap,2021-09-15,0.075,0.0631,0.09,0.0269,Medium,369.0,0.3623611078148335,26.54364572001959,-80.04214039594184,POINT (-80.04214039594184 26.54364572001959),79.67774352801902,0.4692840592777227,0.5501444327334655,8.101661241960947,8.101661241960947
2710,01292020 Boynton Beach Inlet,0.601484563651491,0.650748244778205,0.709864662130262,0.784778057406605,0.825369010314623,0.987732821946695,1.11856656191342,1.27915344473904,1.42368163928209,1.60671295828987,1.75923905746301,sandsnap,2021-09-15,0.08,0.0661,0.0973,0.0312,Medium,360.0,0.3814867534723984,26.544083849286455,-80.042059371676,POINT (-80.042059371676 26.544083849286455),76.62325935145181,0.5696098528949157,0.6662104106854553,8.023123480519143,8.023123480519143
19384,Bear Island-01,0.365289607582217,0.395410879788517,0.431556406436077,0.476377214358761,0.500552601393034,0.597254149530125,0.676126458793259,0.772981777830022,0.860151564963109,0.970119621242558,1.0617596681421,sandsnap,2021-09-15,0.045,0.0391,0.0472,0.0081,High,795.0,-1.6882578408668414,34.630411369252506,-77.14350842311632,POINT (-77.14350842311632 34.630411369252506),77.39470214607806,0.638685497390313,0.7412527652605863,8.136738738384048,8.136738738384048
19385,Bear Island-01,0.365289607582217,0.395410879788517,0.431556406436077,0.476377214358761,0.500552601393034,0.597254149530125,0.676126458793259,0.772981777830022,0.860151564963109,0.970119621242558,1.0617596681421,sandsnap,2021-09-15,0.04,0.0388,0.0455,0.0067,High,793.0,-1.6926715337250884,34.630610220417516,-77.14301505445488,POINT (-77.14301505445488 34.630610220417516),81.61306003890459,0.5332213720883727,0.6185967365072935,7.784448472300486,7.784448472300486
19386,Bear Island-01,0.365289607582217,0.395410879788517,0.431556406436077,0.476377214358761,0.500552601393034,0.597254149530125,0.676126458793259,0.772981777830022,0.860151564963109,0.970119621242558,1.0617596681421,sandsnap,2021-09-15,0.04,0.0385,0.0425,0.004,High,791.0,-1.7218981509057183,34.63075568973488,-77.14249897543732,POINT (-77.14249897543732 34.63075568973488),79.00368608240791,0.60849789932984,0.707502433572865,8.046924623584301,8.046924623584301
19387,Bear Island-01,0.365289607582217,0.395410879788517,0.431556406436077,0.476377214358761,0.500552601393034,0.597254149530125,0.676126458793259,0.772981777830022,0.860151564963109,0.970119621242558,1.0617596681421,sandsnap,2021-09-15,0.04,0.0373,0.042,0.0047,High,785.0,-1.7532392744839653,34.63086559293549,-77.14196484352848,POINT (-77.14196484352848 34.63086559293549),83.57146134466214,0.4310674577879904,0.497322505803144,7.809133800526067,7.809133800526067
19388,Bear Island-01,0.365289607582217,0.395410879788517,0.431556406436077,0.476377214358761,0.500552601393034,0.597254149530125,0.676126458793259,0.772981777830022,0.860151564963109,0.970119621242558,1.0617596681421,sandsnap,2021-09-15,0.04,0.0379,0.0421,0.0042,High,792.0,-1.7874775464375536,34.63107313734246,-77.14147031751739,POINT (-77.14147031751739 34.63107313734246),79.63237983980144,0.5805970176697353,0.6697946680317235,8.087227052077719,8.087227052077719
22452,7NPS_FriscoBeach_Wet,0.1775,0.19,0.205,0.23,0.2408,0.284,0.322,0.354105263157895,0.383,0.405,0.423333333333333,sandsnap,2021-03-04,0.065,0.0553,0.0756,0.0203,High,539.0,-0.10951121322255762,35.22272050345305,-75.64258643783037,POINT (-75.64258643783037 35.22272050345305),75.43604240164012,0.6576378577251097,0.7577145140287495,8.299625003675542,8.299625003675542
22452,7NPS_FriscoBeach_Dry,0.159666666666667,0.173,0.189,0.21,0.2206,0.263,0.283,0.311947368421053,0.338,0.368,0.393,sandsnap,2021-03-04,0.065,0.0553,0.0756,0.0203,High,539.0,-0.10951121322255762,35.22272050345305,-75.64258643783037,POINT (-75.64258643783037 35.22272050345305),75.0840594117278,0.6009565684992211,0.6902174349075203,8.466280994110042,8.466280994110042
23482,5Rodanthe_SeaHavenRd_Dry,0.269333333333333,0.291,0.317,0.354,0.3748,0.458,0.518,0.568,0.613,0.668,0.713833333333333,sandsnap,2021-03-04,0.055,0.0449,0.0661,0.0212,High,574.0,-3.5615106710226923,35.59166274103768,-75.46094232021773,POINT (-75.46094232021773 35.59166274103768),78.06478746736119,0.6389616039705425,0.7349665188107917,8.258643203232012,8.258643203232012
23482,5Rodanthe_SeaHavenRd_Wet,0.289333333333333,0.306,0.326,0.359,0.3802,0.465,0.541,0.606263157894737,0.665,0.727,0.778666666666666,sandsnap,2021-03-04,0.055,0.0449,0.0661,0.0212,High,574.0,-3.5615106710226923,35.59166274103768,-75.46094232021773,POINT (-75.46094232021773 35.59166274103768),80.05415218183045,0.5617331108328848,0.648603618817448,8.00165915514797,8.00165915514797
23483,5Rodanthe_SeaHavenRd_Dry,0.269333333333333,0.291,0.317,0.354,0.3748,0.458,0.518,0.568,0.613,0.668,0.713833333333333,sandsnap,2021-03-04,0.07,0.055,0.0906,0.0356,Medium,580.0,-3.6429393866511726,35.592110790750006,-75.4610019927567,POINT (-75.4610019927567 35.592110790750006),81.12939452421672,0.6467845515674834,0.7465176890548081,8.240016766232861,8.240016766232861
23483,5Rodanthe_SeaHavenRd_Wet,0.289333333333333,0.306,0.326,0.359,0.3802,0.465,0.541,0.606263157894737,0.665,0.727,0.778666666666666,sandsnap,2021-03-04,0.07,0.055,0.0906,0.0356,Medium,580.0,-3.6429393866511726,35.592110790750006,-75.4610019927567,POINT (-75.4610019927567 35.592110790750006),86.18452297098833,0.5618537251260445,0.6495381091771704,7.704213030948553,7.704213030948553
23484,5Rodanthe_SeaHavenRd_Dry,0.269333333333333,0.291,0.317,0.354,0.3748,0.458,0.518,0.568,0.613,0.668,0.713833333333333,sandsnap,2021-03-04,0.065,0.0533,0.0912,0.0379,Medium,580.0,-3.6460354657390104,35.59255869180892,-75.46108172520113,POINT (-75.46108172520113 35.59255869180892),87.64787125636957,0.6078152818925082,0.7070549709039797,7.904643339887156,7.904643339887156
23484,5Rodanthe_SeaHavenRd_Wet,0.289333333333333,0.306,0.326,0.359,0.3802,0.465,0.541,0.606263157894737,0.665,0.727,0.778666666666666,sandsnap,2021-03-04,0.065,0.0533,0.0912,0.0379,Medium,580.0,-3.6460354657390104,35.59255869180892,-75.46108172520113,POINT (-75.46108172520113 35.59255869180892),90.26576211977937,0.6340878586850304,0.7315154981635745,8.168198982439456,8.168198982439456
23485,5Rodanthe_SeaHavenRd_Dry,0.269333333333333,0.291,0.317,0.354,0.3748,0.458,0.518,0.568,0.613,0.668,0.713833333333333,sandsnap,2021-03-04,0.065,0.0538,0.0879,0.0341,Medium,570.0,-3.6268266276672314,35.593006732943195,-75.46110934057458,POINT (-75.46110934057458 35.593006732943195),94.09071854033664,0.636615768402351,0.733989143066846,8.248668353623,8.248668353623
23485,5Rodanthe_SeaHavenRd_Wet,0.289333333333333,0.306,0.326,0.359,0.3802,0.465,0.541,0.606263157894737,0.665,0.727,0.778666666666666,sandsnap,2021-03-04,0.065,0.0538,0.0879,0.0341,Medium,570.0,-3.6268266276672314,35.593006732943195,-75.46110934057458,POINT (-75.46110934057458 35.593006732943195),93.86267862932162,0.6115403539849881,0.7077579742128594,8.188917632072936,8.188917632072936
23486,5Rodanthe_SeaHavenRd_Dry,0.269333333333333,0.291,0.317,0.354,0.3748,0.458,0.518,0.568,0.613,0.668,0.713833333333333,sandsnap,2021-03-04,0.06,0.0469,0.0753,0.0284,Medium,592.0,-3.5656180439695477,35.59345419117149,-75.46123983728914,POINT (-75.46123983728914 35.59345419117149),93.71946754384535,0.620837638132984,0.7112037722937261,8.463050344325309,8.463050344325309
23486,5Rodanthe_SeaHavenRd_Wet,0.289333333333333,0.306,0.326,0.359,0.3802,0.465,0.541,0.606263157894737,0.665,0.727,0.778666666666666,sandsnap,2021-03-04,0.06,0.0469,0.0753,0.0284,Medium,592.0,-3.5656180439695477,35.59345419117149,-75.46123983728914,POINT (-75.46123983728914 35.59345419117149),87.42540373035646,0.5236005923530661,0.6008872669450502,8.484644501226455,8.484644501226455
23487,5Rodanthe_SeaHavenRd_Dry,0.269333333333333,0.291,0.317,0.354,0.3748,0.458,0.518,0.568,0.613,0.668,0.713833333333333,sandsnap,2021-03-04,0.055,0.0462,0.0744,0.0282,Medium,590.0,-3.5054284463160856,35.593901674313145,-75.46133615154864,POINT (-75.46133615154864 35.593901674313145),82.29978227540377,0.6696588701189633,0.7658193100033989,8.571184890126329,8.571184890126329
23487,5Rodanthe_SeaHavenRd_Wet,0.289333333333333,0.306,0.326,0.359,0.3802,0.465,0.541,0.606263157894737,0.665,0.727,0.778666666666666,sandsnap,2021-03-04,0.055,0.0462,0.0744,0.0282,Medium,590.0,-3.5054284463160856,35.593901674313145,-75.46133615154864,POINT (-75.46133615154864 35.593901674313145),82.28026782577199,0.689179061449653,0.7892838512287211,8.460179376656988,8.460179376656988
23488,5Rodanthe_SeaHavenRd_Dry,0.269333333333333,0.291,0.317,0.354,0.3748,0.458,0.518,0.568,0.613,0.668,0.713833333333333,sandsnap,2021-03-04,0.06,0.0469,0.0753,0.0284,Medium,580.0,-3.4672144809188152,35.594345027684184,-75.46145563444524,POINT (-75.46145563444524 35.594345027684184),60.27342813436609,0.6390274835317944,0.7356019635029033,8.540567375282537,8.540567375282537
23488,5Rodanthe_SeaHavenRd_Wet,0.289333333333333,0.306,0.326,0.359,0.3802,0.465,0.541,0.606263157894737,0.665,0.727,0.778666666666666,sandsnap,2021-03-04,0.06,0.0469,0.0753,0.0284,Medium,580.0,-3.4672144809188152,35.594345027684184,-75.46145563444524,POINT (-75.46145563444524 35.594345027684184),63.338740229047026,0.7024809796568475,0.8120940063301232,8.423077710653875,8.423077710653875
23953,4OregonInlet_Ramp4_Dry,0.174166666666667,0.185,0.198,0.224,0.234,0.274,0.297,0.330157894736842,0.36,0.383,0.402166666666667,sandsnap,2021-03-04,0.04,0.0316,0.0515,0.0199,High,469.0,-6.085570320802433,35.799158278138094,-75.53857959880273,POINT (-75.53857959880273 35.799158278138094),68.80369078625775,0.703102726733324,0.8104875802662512,8.3949121137295,8.3949121137295
23953,4OregonInlet_Ramp4_Wet,0.172666666666667,0.181,0.191,0.208,0.2206,0.271,0.295,0.329210526315789,0.36,0.384,0.404,sandsnap,2021-03-04,0.04,0.0316,0.0515,0.0199,High,469.0,-6.085570320802433,35.799158278138094,-75.53857959880273,POINT (-75.53857959880273 35.799158278138094),74.5980602625529,0.8003129997231271,0.9191498183750176,8.330412869982014,8.330412869982014
23953,3NOregonInletDune,0.140594095833333,0.158535415,0.180064998,0.191644783,0.1988896068,0.227868902,0.25400057,0.281448390526316,0.306151429,0.324748626,0.340246290166667,sandsnap,2019-10-10,0.04,0.0316,0.0515,0.0199,High,469.0,-6.085570320802433,35.799158278138094,-75.53857959880273,POINT (-75.53857959880273 35.799158278138094),74.08138436550546,0.7559868789692679,0.8673829167850163,8.373579310218382,8.373579310218382
23953,3NOregonInlet,0.173384655,0.192123435,0.214609971,0.25138336,0.2619093264,0.304013192,0.340742237,0.389667690157895,0.433700598,0.473193172,0.506103650333333,sandsnap,2019-10-10,0.04,0.0316,0.0515,0.0199,High,469.0,-6.085570320802433,35.799158278138094,-75.53857959880273,POINT (-75.53857959880273 35.799158278138094),76.3168667674311,0.696518294382807,0.7981693003330973,8.372687121518624,8.372687121518624
24070,South Nags Head,0.621513851750224,0.672724626895216,0.734177557069207,0.810592834773883,0.851848515630062,1.01687123905478,1.15119042755368,1.3161665412199,1.4646450435195,1.65202688364265,1.80817841707862,sandsnap,2021-09-14,0.05,0.0443,0.059,0.0147,High,553.0,-1.1025897430674017,35.848415037164294,-75.56287713116441,POINT (-75.56287713116441 35.848415037164294),82.37769752406768,0.7578580783598641,0.8668794031596091,8.281070118671293,8.281070118671293
24071,South Nags Head,0.621513851750224,0.672724626895216,0.734177557069207,0.810592834773883,0.851848515630062,1.01687123905478,1.15119042755368,1.3161665412199,1.4646450435195,1.65202688364265,1.80817841707862,sandsnap,2021-09-14,0.055,0.0482,0.0649,0.0167,High,544.0,-1.110918436977211,35.84883801929665,-75.5630762469847,POINT (-75.5630762469847 35.84883801929665),83.78725143648039,0.5959490892566208,0.686475998885427,8.289445797596091,8.289445797596091
24072,South Nags Head,0.621513851750224,0.672724626895216,0.734177557069207,0.810592834773883,0.851848515630062,1.01687123905478,1.15119042755368,1.3161665412199,1.4646450435195,1.65202688364265,1.80817841707862,sandsnap,2021-09-14,0.06,0.0513,0.0723,0.021,High,537.0,-1.1283623612517382,35.84925176544505,-75.56330053528137,POINT (-75.56330053528137 35.84925176544505),90.24949890563335,0.6615152130106217,0.7617589345206062,8.169431057131568,8.169431057131568
24073,South Nags Head,0.621513851750224,0.672724626895216,0.734177557069207,0.810592834773883,0.851848515630062,1.01687123905478,1.15119042755368,1.3161665412199,1.4646450435195,1.65202688364265,1.80817841707862,sandsnap,2021-09-14,0.06,0.0512,0.0752,0.024,High,541.0,-1.1847405027117572,35.849675363368945,-75.56349972438153,POINT (-75.56349972438153 35.849675363368945),91.5109855581262,0.5738834126483501,0.6739062274788273,7.604686119354624,7.604686119354624
24883,2Duck_FRF_Wet,0.2345,0.252,0.273,0.302,0.3126,0.355,0.391,0.436263157894737,0.477,0.524,0.563166666666667,sandsnap,2021-03-04,0.045,0.0414,0.0543,0.0129,High,497.0,-0.2698332031773793,36.18189821938121,-75.74875589430616,POINT (-75.74875589430616 36.18189821938121),97.88936686173331,0.6132855781678233,0.7219658150557995,7.372420663244346,7.372420663244346
24883,2Duck_FRF_Dry,0.178333333333333,0.19,0.204,0.237,0.2452,0.278,0.316,0.602315789473684,0.86,1.18,1.44666666666667,sandsnap,2021-03-04,0.045,0.0414,0.0543,0.0129,High,497.0,-0.2698332031773793,36.18189821938121,-75.74875589430616,POINT (-75.74875589430616 36.18189821938121),87.67312733338112,0.5563005826251239,0.6613983276258321,7.239679460567085,7.239679460567085
24884,2Duck_FRF_Wet,0.2345,0.252,0.273,0.302,0.3126,0.355,0.391,0.436263157894737,0.477,0.524,0.563166666666667,sandsnap,2021-03-04,0.05,0.0433,0.0569,0.0136,High,500.0,-0.37923708137763096,36.182317986248876,-75.74896244679644,POINT (-75.74896244679644 36.182317986248876),84.37925024905243,0.6085382754175046,0.7108419695316527,7.639996679264172,7.639996679264172
24884,2Duck_FRF_Dry,0.178333333333333,0.19,0.204,0.237,0.2452,0.278,0.316,0.602315789473684,0.86,1.18,1.44666666666667,sandsnap,2021-03-04,0.05,0.0433,0.0569,0.0136,High,500.0,-0.37923708137763096,36.182317986248876,-75.74896244679644,POINT (-75.74896244679644 36.182317986248876),79.0045951356975,0.5548905345749893,0.6497780494247274,7.832670544681065,7.832670544681065
29224,HannidesSCPIB21sw,0.502088942163194,0.54258173186585,0.591173079509038,0.654926151240773,0.689610447112795,0.828347630600884,0.938929443850179,1.07406375698992,1.19568463881569,1.35083230928358,1.4801220346735,sandsnap,2021-11-23,0.035,0.0291,0.0429,0.0138,High,648.0,-0.3307418538987843,33.39729398900992,-79.13821510432608,POINT (-79.13821510432608 33.39729398900992),79.80630223589236,0.6384861268041353,0.7414926834235944,7.98359860273998,7.98359860273998
29225,HannidesSCPIB21sw,0.502088942163194,0.54258173186585,0.591173079509038,0.654926151240773,0.689610447112795,0.828347630600884,0.938929443850179,1.07406375698992,1.19568463881569,1.35083230928358,1.4801220346735,sandsnap,2021-11-23,0.04,0.0315,0.0471,0.0156,High,681.0,-0.270262589736601,33.3977206388269,-79.13809572581448,POINT (-79.13809572581448 33.3977206388269),80.82377991567343,0.5086942905900015,0.5901301372763065,8.123483298443421,8.123483298443421
29226,HannidesSCPIB21sw,0.502088942163194,0.54258173186585,0.591173079509038,0.654926151240773,0.689610447112795,0.828347630600884,0.938929443850179,1.07406375698992,1.19568463881569,1.35083230928358,1.4801220346735,sandsnap,2021-11-23,0.035,0.0328,0.0438,0.011,High,725.0,-0.4179173827766626,33.398143103640095,-79.13789969326302,POINT (-79.13789969326302 33.398143103640095),83.87817206947658,0.6246768912265968,0.7251872731794364,8.031119308909645,8.031119308909645
